round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,23,18,20,21,42,
1,56,66,36,48,106,
2,101,103,53,45,162,
3,146,146,36,61,238,
4,205,231,50,31,271,
5,265,262,63,50,303,
6,299,285,22,19,341,
7,328,297,28,21,382,
8,350,305,17,18,409,
9,367,311,7,4,444,
10,380,312,1,5,458,
11,384,313,0,2,473,
12,386,0,0,1,480,
13,387,0,0,0,485,
14,389,0,0,0,501,
15,390,0,0,0,509,
16,0,0,0,0,520,
17,0,0,0,0,530,
18,0,0,0,0,544,
19,0,0,0,0,550,
20,0,0,0,0,554,
21,0,0,0,0,556,
22,0,0,0,0,564,
23,0,0,0,0,567,
24,0,0,0,0,568,
25,0,0,0,0,572,
26,0,0,0,0,574,
27,0,0,0,0,580,
28,0,0,0,0,586,
29,0,0,0,0,595,
30,0,0,0,0,598,
31,0,0,0,0,601,
32,0,0,0,0,607,
33,0,0,0,0,612,
34,0,0,0,0,616,
