T,var,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
1.00,0.10,20763,162792,7526,29943,14935,
2.00,0.10,32769,1322301,10238,102066,143808,
3.00,0.10,65394,2145242,10650,188667,738844,
4.00,0.10,82742,9009689,12491,275039,3508339,
5.00,0.10,166911,13004647,12891,472566,5824413,
6.00,0.10,123490,18927590,11433,601224,4373005,
7.00,0.10,149810,17696782,13114,791957,7143386,
8.00,0.10,138437,16179822,13879,911056,14172001,
9.00,0.10,104064,10430697,13775,876831,14683399,
10.00,0.10,115124,9416815,14298,975156,13987364,
