round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,25,23,36,22,20,
1,49,71,29,29,55,
2,99,102,35,37,79,
3,146,137,72,67,134,
4,175,175,18,96,209,
5,207,235,38,45,236,
6,240,285,30,29,269,
7,262,321,39,31,315,
8,298,367,13,11,325,
9,328,390,11,18,366,
10,352,430,6,11,400,
11,380,456,5,14,443,
12,399,484,8,8,460,
13,407,518,5,9,492,
14,415,535,2,6,531,
15,427,582,5,4,559,
16,435,635,2,2,596,
17,0,666,3,2,609,
18,0,691,4,3,618,
19,0,702,3,1,682,
20,0,723,2,1,715,
21,0,734,2,1,762,
22,0,764,5,1,779,
23,0,810,4,3,790,
24,0,833,3,4,802,
25,0,852,2,1,811,
26,0,867,1,1,821,
27,0,891,0,1,836,
28,0,903,0,1,842,
29,0,917,0,1,856,
30,0,940,0,3,862,
31,0,951,0,2,864,
32,0,969,0,3,878,
33,0,987,0,1,886,
34,0,994,0,1,898,
35,0,1012,0,1,942,
36,0,1021,0,0,957,
37,0,1052,0,0,967,
38,0,1063,0,0,976,
39,0,1080,0,0,993,
40,0,1099,0,0,1023,
41,0,1108,0,0,1052,
42,0,1110,0,0,1055,
43,0,1112,0,0,1073,
44,0,1125,0,0,1084,
45,0,1137,0,0,1088,
46,0,1152,0,0,1096,
47,0,1178,0,0,1104,
48,0,1197,0,0,1106,
49,0,1215,0,0,1118,
50,0,1231,0,0,1122,
51,0,1234,0,0,1127,
52,0,1261,0,0,1138,
53,0,1263,0,0,1146,
54,0,1266,0,0,1150,
55,0,1287,0,0,1160,
56,0,1298,0,0,1171,
57,0,1312,0,0,1189,
58,0,1330,0,0,0,
59,0,1344,0,0,0,
60,0,1357,0,0,0,
61,0,1363,0,0,0,
62,0,1370,0,0,0,
63,0,1375,0,0,0,
64,0,1381,0,0,0,
65,0,1384,0,0,0,
66,0,1385,0,0,0,
67,0,1386,0,0,0,
