T,var,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
10.00,0.02,554234,66286141,18475,1043667,22508373,
10.00,0.04,427298,23435626,16504,1119569,34508351,
10.00,0.06,179618,29663103,15603,1114905,24257670,
10.00,0.08,166456,19074941,15606,1031912,22108397,
10.00,0.10,114536,15440672,12156,698313,18877427,
10.00,0.12,181656,4162507,13741,999638,4528897,
10.00,0.14,99674,3182216,12610,821169,5031471,
10.00,0.16,109172,2681999,11618,708972,3079911,
10.00,0.18,84051,3204216,11103,836521,2212388,
10.00,0.20,56324,3480170,11137,667523,2671198,
