T,var,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
10.00,0.02,1019,1083.8,1391.4,1277.63,1049.65,
10.00,0.04,1028.3,1024.6,1381.7,1256.29,1049.65,
10.00,0.06,1034.1,1013.22,1359.4,1180.65,1013.22,
10.00,0.08,920.7,965.401,1255.5,1104.74,976.785,
10.00,0.10,899.9,949.462,1099.8,1047.57,940.355,
10.00,0.12,926.2,874.325,1154.1,1026.88,862.941,
10.00,0.14,940.9,851.556,1098.9,971.231,858.387,
10.00,0.16,959.2,806.018,1065.5,915.235,812.849,
10.00,0.18,806.1,790.08,1043,861.906,808.295,
10.00,0.20,769.2,803.741,976.1,814.803,776.419,
