T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
50.00,0.02,63.9,63.9,183.7,177.5,56.5685,63.6396,
50.00,0.04,56.7,63.9,306,92.3,63.6396,56.5685,
50.00,0.06,85,56.8,261.2,71,56.5685,63.6396,
50.00,0.08,92.1,63.9,174.2,127.8,63.6396,63.6396,
50.00,0.10,77.9,56.8,244.6,99.4,56.5685,56.5685,
50.00,0.12,91.8,56.8,227.5,78.1,56.5685,56.5685,
50.00,0.14,63.5,56.8,262.8,149.1,56.5685,56.5685,
50.00,0.16,84.2,56.8,225,113.6,56.5685,63.6396,
50.00,0.18,79.5,56.8,215.5,99.4,56.5685,63.6396,
50.00,0.20,84.9,71,237.7,113.6,56.5685,56.5685,
