T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
10.00,0.02,1208.7,1279.61,1547.7,1473.57,198229,139495,
10.00,0.04,1237.3,1247.73,1569.1,1417.97,220255,146836,
10.00,0.06,1242.2,1199.92,1497.4,1342.27,220255,132153,
10.00,0.08,1137.1,1174.87,1533.8,1337.48,198229,154178,
10.00,0.10,1134.4,1145.27,1438.5,1237.68,220255,132153,
10.00,0.12,1127,1095.18,1367.9,1117.07,198229,66076.4,
10.00,0.14,1040.2,1086.08,1350,1126.53,198229,66076.4,
10.00,0.16,1035.2,1061.03,1231.2,1087.94,198229,73418.2,
10.00,0.18,1037.8,1017.77,1166.8,1024.87,220255,66076.4,
10.00,0.20,1106,979.062,1126,1006.33,198229,73418.2,
