T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
100.00,0.02,6692,194923,3020,19534,5066,3930,0,
100.00,0.04,7587,243029,2745,13253,3433,7513,0,
100.00,0.06,10888,13794,1914,5906,2059,4205,0,
100.00,0.08,6825,125088,2927,65762,3096,4645,0,
100.00,0.10,13223,4183,2905,59810,1737,5944,0,
100.00,0.12,14441,91144,1565,91258,3280,3920,0,
100.00,0.14,7406,168092,1826,121484,2432,3051,0,
100.00,0.16,16175,886119,3350,50007,2520,4646,0,
100.00,0.18,7530,153179,3979,16637,3894,4599,0,
100.00,0.20,8641,19979,3214,4121,4101,6690,0,
