T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
100.00,0.02,1200,800,3144.6,2297.9,900,1000,800,
100.00,0.04,1200,899.6,3600,1899.5,800,1000,800,
100.00,0.06,1100,800,2986.5,1694,800,900,800,
100.00,0.08,1000,799.9,3828.5,1376,800,800,800,
100.00,0.10,1100,800,3353.4,2089.3,800,800,800,
100.00,0.12,900,799.8,2337.8,1887.3,900,800,800,
100.00,0.14,1100,800,2800,1199.6,800,800,800,
100.00,0.16,1000,800.1,3700,2283.6,800,800,800,
100.00,0.18,1100,800,3200,2163.9,800,800,800,
100.00,0.20,800,800,3000,2099.9,800,800,800,
