T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
2500.00,0.10,73695,48488,18088,10363,75923,67517,
3025.00,0.10,73695,97726,18088,5422,48328,32094,
3600.00,0.10,73695,47455,18088,8922,56603,53857,
4225.00,0.10,73695,32068,18088,19547,31014,46182,
4900.00,0.10,73695,46162,18088,7790,93207,41783,
5625.00,0.10,73695,103274,18088,11382,53269,60527,
6400.00,0.10,73695,72866,18088,9097,47450,41365,
7225.00,0.10,73695,115155,18088,7610,42971,48491,
8100.00,0.10,73695,78909,18088,6921,78410,57614,
9025.00,0.10,73695,111689,18088,6690,47269,31333,
10000.00,0.10,73695,128331,18088,11662,33188,48709,
