round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
0,200,200,200,200,200,200,200,
1,380,320,180,140,320,300,320,
2,500,440,120,140,420,380,400,
3,620,540,120,120,460,400,0,
4,720,660,120,100,560,440,0,
5,860,720,120,80,600,500,0,
6,980,760,120,60,620,560,0,
7,1080,800,100,60,0,640,0,
8,1180,860,80,40,0,720,0,
9,1240,900,80,0,0,760,0,
10,1340,960,80,0,0,820,0,
11,1420,1020,60,0,0,880,0,
12,1520,1100,60,0,0,920,0,
13,1580,1140,40,0,0,960,0,
14,1700,0,40,0,0,1020,0,
15,1740,0,40,0,0,1060,0,
16,1800,0,40,0,0,1080,0,
17,1880,0,40,0,0,1120,0,
18,1920,0,40,0,0,1180,0,
19,2060,0,40,0,0,1200,0,
20,2120,0,20,0,0,1260,0,
21,2140,0,20,0,0,1280,0,
22,0,0,20,0,0,1300,0,
23,0,0,0,0,0,1360,0,
24,0,0,0,0,0,1400,0,
