round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,360,380,160,180,380,380,
2,500,520,140,160,520,520,
3,640,660,140,160,640,640,
4,720,780,140,140,760,760,
5,840,860,120,120,880,880,
6,1000,920,80,80,1000,1000,
7,1100,1060,80,80,1140,1080,
8,1180,1120,80,60,1240,1200,
9,1280,0,60,60,1340,1320,
10,1360,0,60,60,1460,1360,
11,1420,0,60,60,1500,1380,
12,1520,0,60,60,1520,1460,
13,1620,0,40,60,1540,1580,
14,1640,0,40,60,1580,1640,
15,1720,0,40,60,1640,1740,
16,1780,0,40,60,1720,1780,
17,1860,0,40,40,1800,1840,
18,1900,0,40,40,1840,0,
19,1940,0,40,40,1880,0,
20,2000,0,40,40,1940,0,
21,2060,0,40,40,2020,0,
22,2080,0,40,40,2040,0,
23,2100,0,40,40,2060,0,
24,2140,0,40,40,2140,0,
25,0,0,40,40,2220,0,
26,0,0,40,40,2300,0,
27,0,0,40,40,2340,0,
28,0,0,40,40,2400,0,
29,0,0,20,40,0,0,
30,0,0,20,20,0,0,
31,0,0,20,0,0,0,
