T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
10000.00,0.02,166907,149971,23270,11284,141279,155514,
10000.00,0.04,166907,80322,23270,8541,107102,141135,
10000.00,0.06,166907,82596,23270,10813,108237,188477,
10000.00,0.08,166907,40370,23270,12920,232863,118126,
10000.00,0.10,166907,64404,23270,8208,203506,140844,
10000.00,0.12,166907,119122,23270,8018,220794,141609,
10000.00,0.14,166907,96011,23270,13837,181307,127896,
10000.00,0.16,166907,155135,23270,9193,122645,137699,
10000.00,0.18,166907,109175,23270,8988,202023,190056,
10000.00,0.20,166907,139721,23270,8970,105299,92028,
