round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,380,380,180,180,340,320,
2,560,560,180,180,440,400,
3,720,720,160,160,540,420,
4,880,860,160,160,580,440,
5,1000,1000,160,160,660,480,
6,1120,1140,140,140,680,0,
7,1222,1240,100,124,700,0,
8,1344,1360,60,82,0,0,
9,1395,1500,60,60,0,0,
10,1415,1600,44,60,0,0,
11,1435,1700,40,60,0,0,
12,1456,1780,20,40,0,0,
13,1496,1860,20,40,0,0,
14,1517,1920,20,22,0,0,
15,1518,1980,0,20,0,0,
16,1538,2004,0,20,0,0,
17,1541,2024,0,20,0,0,
18,1564,2064,0,20,0,0,
19,0,2093,0,20,0,0,
20,0,2095,0,20,0,0,
21,0,2115,0,1,0,0,
