T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
10.00,0.02,636698,52600242,35578,1534159,34338,57889,
10.00,0.04,651269,59418254,33251,1494864,22955,71022,
10.00,0.06,618053,52148050,30948,1663482,22501,98211,
10.00,0.08,538127,33896240,32311,1592152,17448,94859,
10.00,0.10,511952,41761646,30368,1330149,31498,157145,
10.00,0.12,391376,12835766,28379,1324091,42506,28141,
10.00,0.14,400744,10661230,26987,1228982,22764,25149,
10.00,0.16,268741,10301376,25554,1125299,27664,19487,
10.00,0.18,305853,8652076,22291,1183239,31465,25165,
10.00,0.20,177482,11132232,20323,1009137,31498,14177,
