round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
0,200,200,200,200,200,200,200,
1,360,340,160,140,340,340,320,
2,500,480,140,100,440,440,360,
3,620,580,120,80,560,560,380,
4,680,660,100,80,640,620,0,
5,780,780,100,60,760,740,0,
6,900,880,100,60,800,880,0,
7,920,900,100,60,880,940,0,
8,1020,920,80,40,980,1040,0,
9,1120,1000,40,20,1020,1100,0,
10,1200,0,40,20,1060,1140,0,
11,1300,0,40,20,1080,1200,0,
12,1400,0,40,20,0,1240,0,
13,1420,0,40,20,0,1260,0,
14,1500,0,40,20,0,1280,0,
15,1620,0,20,20,0,1320,0,
16,1740,0,20,20,0,0,0,
17,1840,0,20,20,0,0,0,
18,1880,0,20,20,0,0,0,
19,1960,0,20,0,0,0,0,
20,2080,0,20,0,0,0,0,
21,2160,0,20,0,0,0,0,
22,2200,0,0,0,0,0,0,
23,2220,0,0,0,0,0,0,
24,2300,0,0,0,0,0,0,
25,2420,0,0,0,0,0,0,
26,2500,0,0,0,0,0,0,
27,2520,0,0,0,0,0,0,
28,2540,0,0,0,0,0,0,
29,2560,0,0,0,0,0,0,
30,2600,0,0,0,0,0,0,
31,2640,0,0,0,0,0,0,
32,2680,0,0,0,0,0,0,
33,2740,0,0,0,0,0,0,
34,2820,0,0,0,0,0,0,
35,2900,0,0,0,0,0,0,
36,3000,0,0,0,0,0,0,
37,3040,0,0,0,0,0,0,
38,3080,0,0,0,0,0,0,
39,3140,0,0,0,0,0,0,
40,3180,0,0,0,0,0,0,
41,3260,0,0,0,0,0,0,
