T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
50.00,0.10,20523,23832,7853,3935,4207,24388,0,
55.00,0.10,20523,24653,7853,4210,6640,24775,0,
60.00,0.10,26895,24918,7903,4230,8876,23032,0,
65.00,0.10,20045,24160,7887,4099,3853,24719,0,
70.00,0.10,20045,24653,7887,4230,6640,31318,0,
75.00,0.10,20045,34532,7887,4094,4283,11029,0,
80.00,0.10,26895,34773,7773,4094,4636,16572,0,
85.00,0.10,27070,24766,7853,4230,4489,24600,0,
90.00,0.10,26895,24092,7773,4230,6872,30607,0,
95.00,0.10,20045,35113,7757,4210,11394,31022,0,
100.00,0.10,20045,24471,7757,4194,6872,31085,0,
