T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
50.00,0.10,653.3,424,937.4,634,588,490,457,
55.00,0.10,728.2,472,1047.4,666,648,558,507,
60.00,0.10,754.3,524,1153.1,782,767,609.667,557,
65.00,0.10,763,573,1323.6,913,640,640,607,
70.00,0.10,828,622,1438.5,932,828,736,657,
75.00,0.10,893,673,1553,1073,814,764.667,707,
80.00,0.10,1033.8,723,1600,1153,948,842.667,757,
85.00,0.10,1101.6,772,1709.1,1157,1008,896,807,
90.00,0.10,1171.6,823,1818.3,1232,1157,949.333,857,
95.00,0.10,1153,874,2018,1226,1128,1002.67,907,
100.00,0.10,1218,923,2134.6,1387,1287,1056,957,
