T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
50.00,0.10,653.3,423,937.4,635,588,423,407,
55.00,0.10,728.2,472,1047.4,753,648,472,457,
60.00,0.10,698,523,1153.1,782,649,522,497,
65.00,0.10,763,572,1323.6,857,768,573,547,
70.00,0.10,828,623,1438.5,932,828,622,587,
75.00,0.10,893,673,1553,1007,888,672,637,
80.00,0.10,1034.1,724,1600,1082,948,723,677,
85.00,0.10,1101.6,772,1709.2,1161,840,773,727,
90.00,0.10,1088,823,1819.2,1156,1157,822,767,
95.00,0.10,1153,872,2018,1307,1222,872,817,
100.00,0.10,1218,1011,2134.6,1119,1287,925,857,
