T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
1.00,0.10,179559,1502321,25749,123980,42804,407046,
2.00,0.10,366906,7665603,28436,267216,56289,862525,
3.00,0.10,323806,13863559,27031,456768,39953,533238,
4.00,0.10,334391,28334072,27998,604685,69018,431629,
5.00,0.10,334684,33594267,26561,867557,37392,661675,
6.00,0.10,263952,43969935,24264,1192921,84253,405669,
7.00,0.10,255094,38876623,28259,1302165,52609,244020,
8.00,0.10,242041,50331415,26193,1552172,67595,201062,
9.00,0.10,250595,33297969,26480,1801989,32669,247157,
10.00,0.10,310307,22284726,27134,1821235,47170,504042,
