T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
50.00,0.10,517.7,467.1,1071.8,514.7,588,473.667,365,
55.00,0.10,578.4,523.3,1204.8,545.8,594,540,405.5,
60.00,0.10,638.3,581.2,1337.2,581.5,708,609.667,446,
65.00,0.10,698,630.6,1469,689.4,704,618.667,486.5,
70.00,0.10,758.1,626.3,1599.5,750.6,759,644,527,
75.00,0.10,818.2,676.4,1731,819,888,690.667,567.5,
80.00,0.10,878.2,798.2,1731.9,867,948,737.333,608,
85.00,0.10,939,847.4,1851.4,930.4,924,784,648.5,
90.00,0.10,999,822.9,1973.1,976.4,979,830.667,689,
95.00,0.10,1059,964.4,2250.3,1029.7,1034,908.667,729.5,
100.00,0.10,1118,1014.4,2377.7,1111.6,1089,990,770,
