T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
2500.00,0.10,550,548.9,900,598.8,549.89,499.9,
3025.00,0.10,605,658.8,990,823.5,659.891,659.891,
3600.00,0.10,660,599,1080,718.8,659.908,599.917,
4225.00,0.10,715,649,1170,908.6,909.892,649.923,
4900.00,0.10,770,699.3,1260,839.6,839.914,699.929,
5625.00,0.10,825,899.9,1350,824.9,899.92,749.933,
6400.00,0.10,880,799.9,1440,1199.6,959.925,799.937,
7225.00,0.10,935,934.9,1530,1189.8,1019.93,1104.92,
8100.00,0.10,990,989.9,1620,1350,1079.93,899.944,
9025.00,0.10,1045,950,1710,1140,1139.94,949.947,
10000.00,0.10,1100,1000,1800,1200,1199.94,999.95,
