round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,380,380,180,180,140,360,
2,560,560,180,180,80,480,
3,740,740,180,180,60,620,
4,920,920,180,180,40,760,
5,1100,1100,180,180,40,920,
6,1280,1280,180,180,40,1000,
7,1460,1460,180,180,20,1120,
8,1621,1640,180,180,20,1160,
9,1764,1820,180,180,20,1200,
10,1933,2000,145,165,20,1260,
11,2076,2180,121,124,20,1300,
12,2216,2360,80,100,20,1320,
13,2331,2540,60,73,20,1360,
14,2415,2720,40,60,20,1480,
15,2495,2880,40,40,20,1520,
16,2576,3022,40,40,20,1620,
17,2653,3138,40,40,20,0,
18,2718,3281,40,40,20,0,
19,2781,3406,22,40,0,0,
20,2839,3502,8,40,0,0,
21,2885,3586,0,40,0,0,
22,2927,3726,0,21,0,0,
23,2986,3846,0,20,0,0,
24,3050,3988,0,20,0,0,
25,3126,4086,0,20,0,0,
26,3171,4198,0,20,0,0,
27,3211,4304,0,20,0,0,
28,3251,4392,0,20,0,0,
29,3300,4452,0,20,0,0,
30,3344,4552,0,20,0,0,
31,3422,4644,0,2,0,0,
32,3464,4715,0,0,0,0,
33,3525,4795,0,0,0,0,
34,3550,4877,0,0,0,0,
35,3579,4945,0,0,0,0,
36,3621,4991,0,0,0,0,
37,3631,5077,0,0,0,0,
38,3656,5113,0,0,0,0,
39,3692,5193,0,0,0,0,
40,3709,5219,0,0,0,0,
41,3717,5319,0,0,0,0,
42,3737,5364,0,0,0,0,
43,3769,5394,0,0,0,0,
44,3777,5417,0,0,0,0,
45,3806,5437,0,0,0,0,
46,3819,5477,0,0,0,0,
47,3822,5532,0,0,0,0,
48,3872,5572,0,0,0,0,
49,3901,5597,0,0,0,0,
50,3942,5637,0,0,0,0,
51,4001,5677,0,0,0,0,
52,4011,5717,0,0,0,0,
53,4045,5742,0,0,0,0,
54,4047,0,0,0,0,0,
55,4057,0,0,0,0,0,
56,4083,0,0,0,0,0,
57,4092,0,0,0,0,0,
58,4106,0,0,0,0,0,
59,4113,0,0,0,0,0,
60,4124,0,0,0,0,0,
61,4126,0,0,0,0,0,
62,4131,0,0,0,0,0,
63,4151,0,0,0,0,0,
64,4161,0,0,0,0,0,
65,4181,0,0,0,0,0,
