T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
1.00,0.10,15.5,15.2,49.5,44.7,75.6044,20.6194,
2.00,0.10,40.8,36.7,107.2,96.2,172.505,66.0202,
3.00,0.10,72.5,66.3,176.2,154.6,801.593,190.855,
4.00,0.10,129.9,110.8,256.7,236.4,2840.7,589.58,
5.00,0.10,194.1,179.802,321.9,332.242,4422.39,1572.41,
6.00,0.10,285.4,277.984,469.8,458.585,16097.2,4024.29,
7.00,0.10,412.1,412.211,632.5,589.108,83268.1,11321.5,
8.00,0.10,561.2,605.163,841.3,790.042,160918,30792.9,
9.00,0.10,761.6,890.951,1058.2,1006.29,299777,81020.8,
10.00,0.10,1033.9,1270.5,1305.2,1317.51,748866,212913,
