T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
50.00,0.10,7348,58004,3810,20156,857,10580,0,
55.00,0.10,7348,161940,3810,16968,793,9981,0,
60.00,0.10,7348,67296,3799,28753,793,10718,0,
65.00,0.10,7348,158097,3799,37176,721,11052,0,
70.00,0.10,7348,423811,3799,36115,793,10914,0,
75.00,0.10,7473,222908,3797,25862,793,10803,0,
80.00,0.10,7348,50963,3793,14361,793,10586,0,
85.00,0.10,7348,67757,3793,22784,793,10552,0,
90.00,0.10,7348,92275,3793,16398,857,10524,0,
95.00,0.10,7348,43537,3793,11338,744,11051,0,
100.00,0.10,7348,82648,3793,14038,793,10469,0,
