T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
10000.00,0.05,900,800,1300,1099.8,1099.94,799.96,
10000.00,0.10,900,899.9,1300,1199.7,1099.94,799.96,
10000.00,0.15,900,800,1300,1099.8,1099.94,799.96,
10000.00,0.20,900,899.9,1300,1199.7,1099.94,799.96,
10000.00,0.25,900,899.9,1300,1199.7,1099.94,799.96,
10000.00,0.30,900,899.9,1300,1099.8,1099.94,799.96,
10000.00,0.35,900,899.9,1300,1199.7,1099.94,799.96,
10000.00,0.40,900,800,1300,1099.8,1099.94,799.96,
10000.00,0.45,900,899.9,1300,1099.8,1199.94,799.96,
10000.00,0.50,900,899.9,1300,999.9,1099.94,799.96,
