round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,380,380,180,180,140,340,
2,560,560,180,180,120,460,
3,740,740,180,180,120,560,
4,900,920,180,180,120,640,
5,1080,1100,180,180,80,740,
6,1260,1280,180,180,80,820,
7,1420,1440,169,180,80,880,
8,1580,1600,160,148,60,900,
9,1760,1740,140,140,60,1020,
10,1900,1880,137,120,60,1060,
11,2040,2040,83,100,60,1120,
12,2167,2200,80,84,40,1180,
13,2307,2340,80,80,40,1240,
14,2407,2480,23,67,40,1320,
15,2517,2620,20,20,40,1340,
16,2620,2760,20,20,20,1380,
17,2712,2900,0,6,20,1420,
18,2799,3060,0,0,0,1460,
19,2874,3200,0,0,0,0,
20,2960,3340,0,0,0,0,
21,3044,3480,0,0,0,0,
22,3131,3620,0,0,0,0,
23,3174,3743,0,0,0,0,
24,3241,3878,0,0,0,0,
25,3287,3998,0,0,0,0,
26,3333,4118,0,0,0,0,
27,3379,4254,0,0,0,0,
28,3380,4354,0,0,0,0,
29,3425,4474,0,0,0,0,
30,3452,4594,0,0,0,0,
31,3470,4697,0,0,0,0,
32,3494,4782,0,0,0,0,
33,0,4912,0,0,0,0,
34,0,5052,0,0,0,0,
35,0,5172,0,0,0,0,
36,0,5272,0,0,0,0,
37,0,5377,0,0,0,0,
38,0,5478,0,0,0,0,
39,0,5552,0,0,0,0,
40,0,5672,0,0,0,0,
41,0,5772,0,0,0,0,
42,0,5816,0,0,0,0,
43,0,5898,0,0,0,0,
44,0,5978,0,0,0,0,
45,0,6080,0,0,0,0,
46,0,6141,0,0,0,0,
47,0,6194,0,0,0,0,
48,0,6292,0,0,0,0,
49,0,6352,0,0,0,0,
50,0,6357,0,0,0,0,
