T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
10.00,0.05,1309028,16444592,63298,1031073,7544,111301,
10.00,0.10,1515086,12361158,60070,882986,11377,91744,
10.00,0.15,1232856,13599295,59448,802573,5169,57013,
10.00,0.20,1737269,21400389,56743,743330,7712,89653,
10.00,0.25,1518219,28059017,58812,602313,7283,100624,
10.00,0.30,2439397,29265302,53841,582421,6278,61403,
10.00,0.35,2673818,23097305,50092,525562,9093,84009,
10.00,0.40,3580541,34699289,55387,404541,11557,34689,
10.00,0.45,3428564,27261951,55546,326050,9332,43370,
10.00,0.50,4470624,25144996,50969,333400,6730,95487,
