T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
10.00,0.05,1021.8,1158.94,1330.2,1316.67,1.54178e+06,183546,
10.00,0.10,887.4,1058.75,1155.7,1137.39,2.22457e+06,190887,
10.00,0.15,748.9,944.909,1036.7,962.38,1.2114e+06,117469,
10.00,0.20,645.4,792.357,887.2,856.057,1.76204e+06,117469,
10.00,0.25,541.3,692.174,788.5,721.374,1.71799e+06,117469,
10.00,0.30,450.6,619.314,681.4,633.446,1.2995e+06,110127,
10.00,0.35,382.4,530.515,576.1,536.558,2.04837e+06,117469,
10.00,0.40,314,459.931,519,466.063,2.62103e+06,102786,
10.00,0.45,267.5,373.41,438.3,391.779,2.04837e+06,117469,
10.00,0.50,218.1,336.979,380.9,343.884,1.49773e+06,117469,
