T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
100.00,0.05,750.8,729.6,1485.1,847.4,891,792,732,
100.00,0.10,751.8,719.4,1411.8,842,990,792,692,
100.00,0.15,748.6,683.3,1453.7,858.9,990,792,652,
100.00,0.20,738.8,674,1471.7,770.7,990,792,612,
100.00,0.25,851,690.4,1410.1,825.3,990,792,572,
100.00,0.30,731.8,674.9,1453.8,721.3,990,528,532,
100.00,0.35,754.2,674.8,1438.3,806.4,891,528,492,
100.00,0.40,734.6,674.8,1474.5,712.4,891,528,452,
100.00,0.45,730.4,648.6,1444.1,747.6,1089,528,412,
100.00,0.50,729,648.6,1250.8,695.6,891,528,372,
